index,n_cells
Fam100a,904
Fam102a,704
Fam103a1,1129
Fam105b,795
Fam107b,937
Fam108a,1016
Fam108b,711
Fam108c,822
Fam110a,762
Fam114a2,932
Fam120a,1022
Fam122a,785
Fam125a,1065
Fam129b,891
Fam132a,598
Fam133b,788
Fam134a,906
Fam134b,603
Fam134c,710
Fam136a,806
Fam162a,1126
Fam165b,1038
Fam168b,873
Fam172a,615
Fam173a,1082
Fam174a,947
Fam188a,722
Fam18b,841
Fam192a,789
Fam195b,1000
Fam20b,666
Fam25c,642
Fam32a,1061
Fam36a,1043
Fam38a,729
Fam3c,680
Fam46a,630
Fam49b,864
Fam50a,761
Fam53a,720
Fam54b,773
Fam60a,699
Fam63a,750
Fam63b,868
Fam76a,700
Fam82a2,638
Fam83h,668
Fam84a,659
Fam89b,849
Fam92a,708
Fam96a,957
Fam96b,1046
Fam98a,604
Fam98c,713
Far1,690
Fars2,720
Farsa,754
Farsb,777
Fasn,768
Fastk,667
Fau,1196
Fbl,1127
Fbrs,665
Fbxl3,687
Fbxl5,684
Fbxo11,662
Fbxo22,669
Fbxo28,605
Fbxo3,668
Fbxo6,710
Fbxo9,650
Fbxw11,735
Fbxw2,892
Fbxw5,680
Fcf1,888
Fdft1,731
Fdps,961
Fdx1,1103
Fech,783
Fem1b,607
Fgfr1op2,1113
Fh1,984
Fibp,811
Fip1l1,860
Fis1,1183
Fkbp1a,1113
Fkbp2,1151
Fkbp3,1069
Fkbp4,1160
Fkbp8,1176
Flii,846
Flna,875
Flnb,800
Flot1,653
Fmr1,735
Fnbp1l,610
Fnbp4,627
Fndc3a,621
Fnip1,724
Fnta,1032
Fos,1137
Fosb,1013
Fosl1,744
Fosl2,888
Foxn3,811
Foxo1,604
Foxp1,1049
Foxp4,651
Frat2,741
Frg1,917
Fryl,752
Fth1,1196
Ftl1,1194
Ftsj3,767
Fubp1,983
Fuca1,1048
Fuca2,819
Fundc1,684
Fundc2,1124
Furin,738
Fus,1141
Fxc1,1117
Fxn,598
Fxr1,669
Fxr2,741
Fxyd3,814
Fyttd1,948
Fzr1,704
G3bp1,1166
G3bp2,1008
G6pc3,650
G6pdx,901
Gaa,630
Gabarap,1196
Gabarapl1,919
Gabarapl2,1168
Gadd45a,795
Gadd45b,823
Gadd45g,831
Gadd45gip1,1105
Gak,742
Gale,636
Galnt1,866
Galnt2,700
Ganab,838
Gapdh,1196
Gapvd1,763
Gar1,1057
Gars,969
Gas2l1,717
Gas5,1191
Gas6,838
Gatad1,939
Gatad2a,977
Gba,625
Gbas,643
Gbf1,688
Gclc,861
Gclm,807
Gcn1l1,635
Gcsh,779
Gde1,1021
Gdi1,735
Gdi2,1185
Gdpd1,628
Gemin7,1010
Get4,960
Gfer,736
Gga1,908
Ggh,870
Ggnbp2,1052
Ghitm,1172
Gipc1,1076
Gja1,628
Glo1,1079
Glod4,1066
Glrx,769
Glrx2,1031
Glrx3,1142
Glrx5,1148
Gls,776
Glt25d1,809
Gltp,1092
Gltscr2,1192
Glud1,1082
Glul,809
Glyr1,921
Gm15421,1150
Gm16517,879
Gm1821,1140
Gm2a,696
Gm561,815
Gm5617,679
Gm6222,1034
Gm6251,753
Gm6402,889
Gm6654,834
Gm9320,1057
Gm9781,681
Gmfb,905
Gmps,714
Gna11,795
Gna13,815
Gna15,696
Gnai2,1182
Gnai3,1080
Gnaq,700
Gnas,1196
Gnb1,1178
Gnb2,1194
Gnb2l1,1196
Gng10,981
Gng12,1127
Gng5,1196
Gnl1,740
Gnl2,735
Gnl3,993
Gnl3l,669
Gnpat,676
Gns,604
Golga2,611
Golga4,1057
Golga7,1051
Golgb1,965
Golim4,748
Golph3,962
Golt1b,714
Gorasp2,1030
Gosr2,688
Got1,735
Got2,1104
Gpaa1,816
Gpatch4,679
Gpatch8,715
Gpbp1,1018
Gpbp1l1,803
Gpd2,792
Gpi1,1185
Gpr108,780
Gpr56,721
Gps1,1005
Gps2,818
Gpx1,1194
Gpx2,651
Gpx4,1171
Grb2,1039
Grcc10,1190
Grhl1,642
Grhpr,631
Grina,834
Grn,847
Grpel1,1149
Grpel2,731
Grsf1,793
Gse1,675
Gsk3a,895
Gsk3b,1076
Gsn,996
Gspt1,1150
Gsr,880
Gss,635
Gsta4,810
Gstm1,994
Gstm2,602
Gsto1,1125
Gstp1,1123
Gt(ROSA)26Sor,758
Gtf2a2,1111
Gtf2b,741
Gtf2e2,804
Gtf2f1,859
Gtf2f2,880
Gtf2h1,796
Gtf2h5,1148
Gtf2i,1023
Gtf2ird1,606
Gtf3a,827
Gtf3c2,756
Gtf3c6,912
Gtl3,909
Gtpbp4,1054
Guk1,1104
H13,1088
H1f0,833
H2-D1,1194
H2-K1,1169
H2-Ke2,1093
H2-Ke6,887
H2-T23,749
H2afj,1184
H2afv,1135
H2afx,786
H2afy,1185
H2afz,1194
H3f3a,1196
H3f3b,1196
H47,1078
Hadh,1064
Hadha,1079
Hadhb,1093
Hagh,972
Hars,861
Hat1,700
Hax1,995
Hbegf,848
Hbp1,766
Hbs1l,826
Hbxip,1154
Hcfc1,681
Hcfc1r1,1121
Hdac1,1047
Hdac2,990
Hdac3,828
Hdac5,713
Hddc2,601
Hdgf,1183
Hdgfrp2,686
Hdhd2,715
Hdlbp,1143
Hebp2,660
Hectd1,1074
Herc1,676
Herc2,661
Herc4,647
Herpud1,1040
Herpud2,702
Hes1,858
Hes6,624
Hexa,685
Hexb,758
Hexim1,722
Hgs,787
Hiat1,797
Hiatl1,697
Hibadh,984
Hif1a,968
Higd1a,1160
Higd2a,1186
Hint1,1194
Hint2,1073
Hint3,723
Hip1r,645
Hipk1,858
Hipk3,764
Hist1h1c,879
Hist1h2bc,989
Hist2h2aa1,924
Hist3h2a,653
Hivep1,652
Hk1,957
Hk2,908
Hmbs,834
Hmg20b,1048
Hmgb1,1191
Hmgb2,1147
Hmgb3,791
Hmgcl,680
Hmgcr,733
Hmgcs1,884
Hmgn1,1165
Hmgn2,972
Hmgn3,935
Hmgn5,900
Hmox1,670
Hmox2,806
Hn1,1128
Hnrnpa0,1020
Hnrnpa2b1,1193
Hnrnpa3,1191
Hnrnpab,1191
Hnrnpc,1186
Hnrnpd,1061
Hnrnpf,1195
Hnrnph1,1137
Hnrnph2,971
Hnrnph3,788
Hnrnpk,1194
Hnrnpl,1025
Hnrnpm,1140
Hnrnpr,995
Hnrnpu,1188
Hnrnpul2,1105
Hnrpdl,1160
Hnrpll,712
Homer2,607
Hook3,722
Hp1bp3,1072
Hpcal1,826
Hprt,1141
Hras1,1106
Hrsp12,662
Hsbp1,1189
Hscb,697
Hsd17b10,1116
Hsd17b12,1027
Hsd17b4,803
Hsdl2,982
Hsf1,606
Hsp90aa1,1194
Hsp90ab1,1196
Hsp90b1,1172
Hspa14,653
Hspa1a,829
Hspa1b,639
Hspa4,1138
Hspa5,1191
Hspa8,1196
Hspa9,1173
Hspb1,903
Hspb11,783
Hspb8,697
Hspbp1,747
Hspd1,1163
Hspe1,1193
Hsph1,781
Htatip2,864
Htatsf1,736
Huwe1,1075
Iah1,714
Iars2,659
Ibtk,610
Ict1,1056
Id1,868
Id2,878
Id3,845
Ide,842
Idh1,762
Idh2,864
Idh3a,945
Idh3b,1049
Idh3g,1059
Idi1,781
Ier2,1156
Ier3,1007
Ier3ip1,1178
Ier5,1050
Iffo2,633
Ifi27l1,895
Ifi30,639
Ifi35,664
Ifitm2,1090
Ifitm3,934
Ifnar2,626
Ifngr1,652
Ifngr2,680
Ifrd1,1064
Ifrd2,672
Ift20,1042
Ift27,630
Ift52,670
Igbp1,1085
Igf1r,704
Igfbp2,667
Igfbp7,655
Igsf3,599
Ik,1051
Il10rb,621
Il17rc,741
Ilf2,904
Ilf3,695
Ilk,856
Ilkap,919
Immp1l,1062
Immt,1047
Imp3,1140
Imp4,843
Impa1,710
Impdh2,1141
Ing1,761
Ing2,830
Ing4,649
Ino80b,718
Ino80d,662
Ino80e,599
Insig1,646
Insig2,654
Ip6k1,725
Ipo5,1016
Iqgap1,1135
Irak1,853
Irf1,598
Irf2,688
Irf2bp2,937
Irf3,766
Irf6,811
Isca1,919
Isca2,747
Iscu,1146
Isg20,647
Isy1,711
Isyna1,676
Itch,604
Itfg1,910
Itgav,687
Itgb1,889
Itgb1bp1,621
Itgb5,703
Itm2b,1196
Itm2c,904
Itpa,798
Itpkc,699
Itpr3,676
Itsn2,700
Ivns1abp,1060
Iws1,669
Jag1,657
Jagn1,883
Jak1,1079
Jarid2,613
Jhdm1d,671
Jkamp,700
Jmjd1c,711
Jmjd6,705
Josd2,936
Jtb,1115
Jun,1139
Junb,1155
Jund,1191
Jup,910
Kars,947
Kat5,637
Katna1,897
Kcmf1,939
Kcnq1ot1,988
Kctd1,763
Kctd10,778
Kctd5,722
Kdelr1,1146
Kdelr2,1114
Kdm1a,847
Kdm2a,755
Kdm2b,634
Kdm5a,862
Kdm5b,879
Kdm5c,720
Kdm6b,926
Kdsr,702
Keap1,828
Khdrbs1,1121
Kidins220,633
Kif1b,876
Kif1c,814
Kif21a,651
Kif2a,609
Kif5b,1189
Klc1,809
Klc3,623
Klf10,867
Klf13,1067
Klf16,677
Klf2,765
Klf3,903
Klf4,999
Klf5,808
Klf6,1104
Klf9,891
Klhdc2,702
Klhdc3,630
Klhl21,713
Klhl9,638
Kpna2,821
Kpna3,715
Kpna4,948
Kpnb1,1020
Kras,998
Krcc1,1109
Krr1,613
Krt10,712
Krt15,726
Krt4,654
Krt5,699
Krtcap2,1191
Kti12,768
Ktn1,887
Lactb,741
Lad1,802
Lage3,1032
Lamp1,1195
Lamp2,1128
Lamtor2,1186
Lamtor3,1052
Lancl1,765
Lap3,852
Laptm4a,1176
Laptm4b,711
Larp1,984
Larp1b,663
Larp4,815
Larp4b,828
Larp7,794
Lars,767
Las1l,824
Lasp1,741
Lass2,727
Lass5,632
Lbr,767
Lcmt1,638
Ldb1,793
Ldha,1193
Ldhb,671
Ldlr,791
Ldlrap1,631
Lemd2,613
Leprot,826
Leprotl1,957
Letm1,940
Lgals3,1013
Lima1,666
Limd1,822
Limk2,769
Lims1,877
Lin7c,892
Litaf,935
Llph,1177
Lman1,947
Lman2,1154
Lmbrd1,604
Lmna,961
Lmnb1,600
Lmo1,710
Lmo4,977
Lmo7,733
Lonp1,823
Lpcat3,827
Lpgat1,861
Lpp,769
Lrp10,1012
Lrpap1,879
Lrrc41,623
Lrrc47,738
Lrrc58,1070
Lrrc59,1084
Lrrc8a,694
Lrrfip1,1065
Lrrfip2,997
Lsg1,655
Lsm1,911
Lsm10,627
Lsm12,1010
Lsm14a,1033
Lsm2,978
Lsm3,937
Lsm4,1184
Lsm5,1058
Lsm6,1160
Lsm7,1061
Lsmd1,1161
Lsr,803
Lta4h,831
Ltbr,789
Ltv1,858
Luc7l,880
Luc7l2,1153
Luc7l3,1018
Luzp1,846
Ly6a,726
Ly6d,894
Ly6e,1031
Lyar,1012
Lypd3,743
Lypla1,940
Lypla2,906
Lyrm2,802
Lzts2,668
M6pr,1128
Macf1,964
Macrod1,623
Maea,1009
Maf1,867
Mafb,632
Maff,807
Mafg,982
Mafk,834
Magoh,1068
Magohb,663
Magt1,979
Mak16,792
Mal2,660
Malat1,1194
Man1a2,967
Man2a1,598
Manbal,860
Manf,1154
Map1lc3a,1016
Map1lc3b,1196
Map2k1,852
Map2k2,1173
Map2k3,1079
Map2k4,766
Map2k7,600
Map3k1,671
Map3k11,617
Map4k4,797
Mapk1,1124
Mapk13,730
Mapk14,823
Mapk1ip1l,834
Mapk3,1034
Mapk6,747
Mapkap1,859
Mapkapk2,979
Mapkapk3,927
Mapre1,1168
Mapre2,646
March2,902
March5,1081
March6,662
March7,643
Marcks,851
Marcksl1,895
Mark2,1076
Mark3,780
Mars,615
Mast4,733
Mat2a,1125
Mat2b,953
Matr3,1001
Max,1054
Maz,614
Mbd2,879
Mbd3,1112
Mbnl1,1085
Mbnl2,1085
Mbnl3,688
Mbp,681
Mbtd1,778
Mbtps1,658
Mcart1,931
Mcee,978
Mcfd2,766
Mcl1,1142
Mcmbp,804
Mcrs1,859
Mcts1,979
Mdfi,685
Mdh1,1164
Mdh2,1191
Mdm2,860
Mdp1,902
Me1,742
Mea1,1090
Meaf6,650
Mecr,614
Med1,798
Med10,970
Med13,729
Med13l,754
Med19,751
Med21,949
Med25,822
Med28,1149
Med29,874
Med30,950
Med31,715
Med4,624
Med7,629
Med8,877
Med9,834
Memo1,832
Mesdc1,614
Mesdc2,654
Metap1,724
Metap2,1191
Metrnl,637
Mettl10,599
Mettl11a,649
Mettl16,606
Mettl5,609
Mettl7a1,687
Mettl9,1053
Mfap1a,753
Mff,1068
Mfge8,682
Mfsd1,755
Mfsd10,688
Mfsd5,743
Mfsd6,739
Mga,668
Mgat1,766
Mgat2,879
Mgat4b,611
Mgea5,948
Mgst1,886
Mgst2,723
Mgst3,1033
Mia3,855
Micall1,610
Micu1,712
Mid1ip1,983
Midn,942
Mier1,869
Mif,1189
Mif4gd,967
Mink1,758
Minos1,1196
Minpp1,694
Mir703,1151
Mki67ip,891
Mkks,913
Mkln1,635
Mknk2,999
Mkrn1,1015
Mlec,1015
Mlf2,1166
Mll1,785
Mll3,859
Mll5,1042
Mllt10,921
Mllt4,758
Mlx,784
Mmadhc,973
Mnat1,800
Mob2,905
Mob4,1069
Mocs2,999
Morf4l1,1056
Morf4l2,1180
Mosc2,1060
Mospd3,842
Mpdu1,896
Mphosph10,716
Mphosph6,687
Mphosph8,695
Mpnd,839
Mpp1,702
Mpp5,600
Mpp6,697
Mprip,1001
Mpst,1026
Mpv17,602
Mpv17l2,729
Mpzl2,775
Mreg,598
Mrfap1,1195
Mri1,709
Mrp63,1164
Mrpl10,765
Mrpl11,955
Mrpl12,1146
Mrpl13,980
Mrpl14,1172
Mrpl15,984
Mrpl16,764
Mrpl17,1151
Mrpl18,1067
Mrpl19,846
Mrpl2,937
Mrpl20,1159
Mrpl21,1008
Mrpl22,722
Mrpl23,1186
Mrpl24,1136
Mrpl27,1026
Mrpl28,1108
Mrpl3,711
Mrpl30,1177
Mrpl32,1063
Mrpl33,1187
Mrpl34,1005
Mrpl35,990
Mrpl36,1091
Mrpl37,836
Mrpl38,897
Mrpl39,686
Mrpl4,1025
Mrpl40,943
Mrpl41,1002
Mrpl42,1136
Mrpl43,1114
Mrpl44,750
Mrpl45,841
Mrpl46,752
Mrpl48,1056
Mrpl49,746
Mrpl50,778
Mrpl51,1111
Mrpl52,1188
Mrpl53,1108
Mrpl54,1179
Mrpl55,995
Mrpl9,958
Mrps10,916
Mrps11,703
Mrps12,1120
Mrps14,1167
Mrps15,1033
Mrps16,1107
Mrps17,1054
Mrps18a,1063
Mrps18b,936
Mrps18c,1055
Mrps21,1179
Mrps23,1016
Mrps24,1179
Mrps25,961
Mrps26,1064
Mrps28,1047
Mrps30,729
Mrps33,1174
Mrps34,1039
Mrps35,782
Mrps36,1061
Mrps5,769
Mrps6,871
Mrps7,1074
Mrps9,765
Mrto4,939
Msi2,747
Msl1,796
Msl3,682
Mt1,1119
Mt2,904
Mta1,633
Mta2,932
Mta3,754
Mtap4,640
Mtap7,720
Mtap7d1,893
Mtch1,1144
Mtch2,1118
Mtdh,1182
Mtf2,694
Mtfr1,821
Mthfd2,686
Mtmr3,666
Mtmr6,650
Mtpn,1126
Mtus1,674
Mtx1,769
Mtx2,969
Mvk,614
Mvp,684
Mxi1,737
Mybbp1a,850
Myc,829
Mycbp,903
Mycbp2,1090
Myd88,745
Myeov2,1196
Myg1,650
Myh14,636
Myh9,984
Myl12a,1194
Myl12b,1166
Myl6,1196
Myo10,635
Myo18a,783
Myo1c,810
Myo1e,682
Myo6,616
Myst2,660
Myst3,673
Mzt1,731
Mzt2,611
N4bp1,632
N4bp2l2,979
N6amt2,707
Naa10,1041
Naa15,988
Naa20,1029
Naa35,762
Naa38,1115
Naa50,1140
Nab1,955
Naca,1196
Nacc1,748
Nadk,1055
Nae1,752
Nagk,705
Nampt,870
Nans,836
Nap1l1,1113
Nap1l4,1044
Napa,1115
Nars,1140
Nasp,826
Nbr1,677
Ncaph2,1038
Ncbp1,704
Ncbp2,948
Nck1,633
Ncl,1196
Ncln,779
Ncoa4,804
Ncor1,1148
Ncor2,685
Ncstn,733
Ndel1,935
Ndfip1,809
Ndfip2,958
Ndnl2,805
Ndrg1,924
Ndrg2,715
Ndufa1,1189
Ndufa10,1092
Ndufa11,1186
Ndufa12,1180
Ndufa13,1196
Ndufa2,1196
Ndufa3,1190
Ndufa4,1194
Ndufa5,1162
Ndufa6,1196
Ndufa7,1196
Ndufa8,1166
Ndufa9,1029
Ndufab1,1177
Ndufaf2,850
Ndufaf3,801
Ndufaf4,712
Ndufb10,1186
Ndufb11,1196
Ndufb2,1180
Ndufb3,1187
Ndufb4,1191
Ndufb5,1196
Ndufb6,1152
Ndufb7,1186
Ndufb8,1185
Ndufb9,1196
Ndufc1,1193
Ndufc2,1187
Ndufs1,773
Ndufs2,1166
Ndufs3,1153
Ndufs4,1133
Ndufs6,1187
Ndufs7,1166
Ndufs8,1150
Ndufv1,1112
Ndufv2,1150
Ndufv3,1177
Neat1,1085
Necap2,943
Nedd4,1078
Nedd8,1194
Nemf,914
Nenf,1114
Net1,901
Nfat5,661
Nfe2l1,999
Nfe2l2,1075
Nfib,696
Nfic,619
Nfix,606
Nfkb1,769
Nfkbia,1113
Nfkbib,875
Nfkbiz,872
Nfs1,761
Nfu1,844
Nfyb,626
Nfyc,725
Ngdn,904
Ngfrap1,871
Ngly1,629
Nhp2,1158
Nhp2l1,1189
Ninj1,843
Nip7,902
Nipa2,772
Nipal1,656
Nipbl,1048
Nipsnap3b,772
Nisch,805
Nit1,606
Nit2,716
Nkap,640
Nkiras2,725
Nktr,879
Nmd3,740
Nme1,1178
Nme2,1196
Nme3,836
Nmt1,656
Nob1,806
Noc2l,785
Nol12,748
Nol7,1156
Nolc1,900
Nomo1,681
Nono,1155
Nop10,1192
Nop14,771
Nop16,750
Nop56,1012
Nop58,1073
Nosip,637
Notch1,811
Notch2,606
Npc2,1185
Npdc1,643
Npepps,1031
Nploc4,642
Npm1,1196
Npm3,1095
Npm3-ps1,715
Nptn,1007
Nqo1,605
Nr1d1,722
Nr1h2,897
Nr2c2ap,798
Nr2f6,791
Nr3c1,608
Nr4a1,822
Nrarp,709
Nras,1094
Nrbf2,732
Nrbp1,882
Nrd1,1042
Nrip1,691
Nrp,625
Nsa2,1181
Nsd1,847
Nsfl1c,940
Nsmce1,744
Nsmce2,701
Nsmce4a,942
Nsun2,1049
Nt5c,1063
Nt5c3,835
Nt5c3l,620
Ntan1,974
Nub1,743
Nubp1,894
Nubp2,689
Nucb1,1066
Nucb2,643
Nucks1,1134
Nudc,1162
Nudcd2,814
Nudcd3,953
Nudt14,883
Nudt16l1,700
Nudt18,668
Nudt19,722
Nudt2,695
Nudt21,1060
Nudt3,753
Nudt4,1059
Nudt5,791
Nudt8,622
Nudt9,853
Nufip2,911
Numa1,832
Nup153,737
Nup50,878
Nup62,772
Nus1,925
Nxf1,731
Nxn,820
Nxt1,897
ORF61,776
Oat,863
Oaz1,1188
Oaz2,874
Obfc2b,991
Ociad1,1128
Ociad2,768
Odc1,1056
Odf2,661
Ogdh,1104
Ogfr,703
Ogt,634
Ola1,1052
Orai1,732
Orc6,604
Ormdl2,1083
Ormdl3,697
Os9,992
Osbpl2,690
Osbpl9,852
Osgep,871
Ost4,1194
Ostc,1100
Ostf1,1155
Otub1,969
Otud4,615
Otud6b,650
Ovol1,681
Oxa1l,852
Oxct1,969
Oxr1,713
Oxsr1,816
P4hb,1188
Pa2g4,1147
Pabpc1,1195
Pabpc4,818
Pabpn1,1183
Pacsin2,709
Pacsin3,664
Paf1,676
Pafah1b1,1170
Pafah1b2,958
Pafah1b3,892
Paics,912
Paip1,614
Paip2,1182
Pak1,770
Pak1ip1,983
Pak2,1061
Pak4,733
Pam16,1086
Pank2,677
Pank3,613
Papola,1129
Papss1,842
Paqr5,714
Pard3,736
Pard6g,717
Park7,1191
Parl,1006
Parp1,617
Pbrm1,1111
Pbx1,814
Pbxip1,671
Pcbd2,1047
Pcbp1,1191
Pcbp2,1196
Pcdh1,641
Pcf11,824
Pcgf5,636
Pcif1,807
Pcm1,945
Pcmt1,899
Pcmtd1,847
Pcna,1014
Pcnp,1129
Pcyox1,775
Pcyt1a,660
Pcyt2,674
Pdap1,1173
Pdcd10,1103
Pdcd11,695
Pdcd2,734
Pdcd4,1079
Pdcd5,1178
Pdcd6,1160
Pdcd6ip,1117
Pdcl3,1085
Pddc1,697
Pde12,672
Pde6d,656
Pdf,727
Pdha1,1111
Pdhb,972
Pdia3,1168
Pdia4,972
Pdia6,1129
Pdk1,643
Pdk3,764
Pdlim1,1029
Pdlim2,687
Pdlim5,859
Pdpk1,832
Pdrg1,1005
Pdxdc1,766
Pdzd11,921
Pdzd8,598
Pdzk1ip1,689
Pea15a,740
Pebp1,1196
Pef1,820
Peli1,855
Perp,866
Pes1,870
Pex13,700
Pex14,679
Pex16,714
Pex19,770
Pex7,852
Pfdn1,1173
Pfdn2,1184
Pfdn4,927
Pfdn5,1196
Pfkl,876
Pfkp,697
Pfn1,1196
Pgam1,1161
Pgd,1055
Pgk1,1161
Pgls,1183
Pgp,821
Pgrmc1,1121
Pgrmc2,765
Pgs1,839
Phax,833
Phb,1142
Phb2,1187
Phc2,669
Phf10,691
Phf14,787
Phf20l1,931
Phf23,823
Phf3,807
Phf5a,1087
Phgdh,748
Phip,799
Phlda1,898
Phlda3,749
Phpt1,1100
Phyh,706
Pi4k2a,677
Picalm,827
Pigf,698
Pigk,640
Pigp,1049
Pigq,622
Pigt,1035
Pigx,881
Pigy,808
Pigyl,1006
Pih1d1,865
Pik3ca,617
Pik3r1,680
Pim1,864
Pim3,970
Pin1,1077
Pin4,1077
Pink1,823
Pip4k2c,678
Pip5k1a,677
Pir,659
Pisd,669
Pisd-ps3,633
Pitpna,1122
Pitpnb,906
Pja1,818
Pja2,679
Pkig,871
Pkm2,1165
Pkn2,1032
Pkp3,792
Pkp4,649
Pla2g12a,766
Pla2g16,744
Plaa,833
Plac9,618
Plaur,625
Plbd2,651
Pld3,721
Plec,957
Plekha1,612
Plekhb2,690
Plekhf2,881
Plekhj1,1101
Plin2,854
Plin3,780
Plk2,674
Plk3,737
Plp2,997
Pls3,725
Plscr3,903
Plxnb2,840
Pmepa1,817
Pmf1,617
Pmm1,969
Pmm2,645
Pmpca,832
Pmpcb,895
Pmvk,829
Pnkd,1013
Pnkp,602
Pnn,990
Pno1,878
Pnp,908
Pnpla2,850
Pnpla8,877
Pnrc1,1155
Pnrc2,870
Pofut2,769
Polb,945
Pold2,621
Pold4,972
Poldip2,920
Poldip3,855
Pole3,787
Pole4,1045
Polr1c,1016
Polr1d,1191
Polr2c,1062
Polr2d,799
Polr2e,1109
Polr2f,1178
Polr2g,1011
Polr2h,929
Polr2i,1092
Polr2j,1127
Polr2k,1143
Polr2l,1194
Polr2m,1132
Polr3d,610
Polr3h,610
Polr3k,955
Pom121,658
Pomp,1191
Pon2,1057
Pop4,698
Pop5,1034
Pop7,838
Por,935
Ppa1,1079
Ppa2,900
Ppan,677
Ppap2b,646
Ppap2c,887
Ppard,641
Ppdpf,1153
Ppfia1,758
Ppfibp1,714
Ppfibp2,745
Ppia,1196
Ppib,1196
Ppid,908
Ppie,758
Ppif,708
Ppig,1143
Ppih,704
Ppil1,794
Ppil2,739
Ppil3,719
Ppil4,733
Ppl,708
Ppm1a,869
Ppm1b,815
Ppm1g,1007
Ppme1,702
Ppp1ca,1195
Ppp1cb,1178
Ppp1cc,1108
Ppp1r10,859
Ppp1r11,1101
Ppp1r12a,918
Ppp1r14b,1133
Ppp1r15a,1052
Ppp1r15b,870
Ppp1r2,1152
Ppp1r35,636
Ppp1r37,626
Ppp1r7,740
Ppp2ca,1164
Ppp2cb,809
Ppp2r1a,1120
Ppp2r2a,1075
Ppp2r2d,802
Ppp2r4,1032
Ppp2r5a,1000
Ppp2r5c,1012
Ppp2r5e,739
Ppp3ca,979
Ppp3r1,893
Ppp4c,1135
Ppp4r1,607
Ppp4r2,970
Ppp5c,824
Ppp6c,777
Ppp6r3,812
Pppde1,892
Pppde2,889
Ppt1,702
Pqbp1,868
Pqlc1,869
Prdm2,763
Prdx1,1196
Prdx2,1192
Prdx3,919
Prdx5,1186
Prdx6,1182
Preb,731
Prelid1,1185
Prkab1,660
Prkaca,836
Prkag1,861
Prkar1a,1177
Prkcd,864
Prkci,737
Prkcsh,988
Prkra,603
Prkrip1,757
Prkrir,788
Prkx,643
Prmt1,1048
